symbol,period_ending,total_revenue,cost_of_revenue,gross_profit,research_and_development,"sales,_general_and_admin.",non-recurring_items,other_operating_items,operating_income,add'l_income/expense_items,earnings_before_interest_and_tax,interest_expense,earnings_before_tax,income_tax,minority_interest,equity_earnings/loss_unconsolidated_subsidiary,net_income-cont._operations,net_income,net_income_applicable_to_common_shareholders
KAR,31-12-2019,2781900,1617100,1164800,270736,662000,215156,188700,314100,5500,319600,189500,130100,37700,75630,-32034,92400,188500,188500
KARO,28-02-2023,191056,67262,123794,9644,66106,215156,534329,48044,1214,49258,550,48708,15542,75630,-32034,33166,33166,33166
KARO,28-02-2022,177716,59703,118013,9658,63111,215156,534329,45243,-305,44939,798,44141,13297,75630,-32034,30843,30843,30843
KARO,28-02-2021,151228,44270,106958,6611,52377,215156,534329,47970,-1400,46569,614,45955,13114,75630,-32034,32841,32841,32841
KARO,29-02-2020,123440,36536,86904,2856,43942,215156,534329,40106,165,40271,1070,39201,11007,75630,-32034,28193,28193,28193
KAVL,31-10-2022,12761,11520,1241,270736,15630,215156,534329,-14389,41948,-14389,155791,-14389,-18,75630,-32034,-14370,-14370,-14370
KAVL,31-10-2021,58776,46843,11934,270736,22403,215156,534329,-10469,41948,-10469,155791,-10469,-1435,75630,-32034,-9033,-9033,-9033
KAVL,31-10-2020,64314,54255,10059,270736,4700,215156,534329,5360,1,5361,155791,5361,1515,75630,-32034,3846,3846,3846
KAVL,31-10-2019,4885368,3188738,1963046,270736,69,215156,534329,-69,41948,-69,155791,-69,136211,75630,-32034,-69,-69,-69
KB,31-12-2022,20833000,3188738,1963046,270736,22257000,215156,1452000,478735,41948,10653000,155791,4583000,1283000,-23000,-32034,3278000,3300000,3300000
KB,31-12-2021,18019000,3188738,1963046,270736,22186000,215156,997000,478735,41948,8465000,155791,5116000,1428000,79000,-32034,3767000,3688000,3688000
KB,31-12-2020,18608000,3188738,1963046,270736,22065000,215156,961000,478735,41948,8785000,155791,4400000,1164000,-40000,-32034,3196000,3236000,3236000
KB,31-12-2019,16593000,3188738,1963046,270736,18053000,215156,580000,478735,41948,8626000,155791,3920000,1055000,14000,-32034,2879000,2864000,2864000
KBH,30-11-2022,6903776,5219105,1684671,270736,629645,215156,534329,1055026,-2894,1072066,155791,1072066,255400,19934,-32034,836600,816666,816666
KBH,30-11-2021,5724930,4474366,1250564,270736,574376,215156,534329,676188,-4026,695346,155791,695346,130600,23184,-32034,587930,564746,564746
KBH,30-11-2020,4183174,3384534,798640,270736,470779,215156,534329,327861,2554,364043,155791,364043,67800,33628,-32034,329871,296243,296243
KBH,30-11-2019,4552747,3713261,839486,270736,497350,215156,534329,342136,-4642,348175,155791,348175,79400,10681,-32034,279456,268775,268775
KBNT,31-12-2022,2403,3188738,2403,270736,13515,3140,534329,-14252,643,-13609,11,-13620,136211,75630,-32034,-13620,-13620,-13620
KBNT,31-12-2021,2738,3188738,2738,270736,12229,215156,534329,-10372,-792,-10283,8,-10292,136211,75630,-32034,-10292,-10292,-10292
KBNT,31-12-2020,2900,3188738,2900,270736,7367,215156,534329,-4467,-1880,-6347,1539,-7886,136211,75630,-32034,-7886,-7886,-9568
KBNT,31-12-2019,178,3188738,178,270736,3493,215156,534329,-3316,3,-3313,820,-4133,136211,75630,-32034,-4133,-4133,-4133
KBNTW,31-12-2022,2403,3188738,2403,270736,13515,3140,534329,-14252,643,-13609,11,-13620,136211,75630,-32034,-13620,-13620,-13620
KBNTW,31-12-2021,2738,3188738,2738,270736,12229,215156,534329,-10372,-792,-10283,8,-10292,136211,75630,-32034,-10292,-10292,-10292
KBNTW,31-12-2020,2900,3188738,2900,270736,7367,215156,534329,-4467,-1880,-6347,1539,-7886,136211,75630,-32034,-7886,-7886,-9568
KBNTW,31-12-2019,178,3188738,178,270736,3493,215156,534329,-3316,3,-3313,820,-4133,136211,75630,-32034,-4133,-4133,-4133
KBR,31-12-2022,6564000,5736000,828000,270736,420000,4000,534329,343000,47000,371000,87000,284000,92000,-80000,-2000,110000,190000,190000
KBR,31-12-2021,7339000,6533000,806000,270736,393000,14000,534329,231000,-3000,226000,80000,146000,111000,-170000,-8000,-143000,27000,27000
KBR,31-12-2020,5767000,5101000,666000,270736,335000,322000,534329,57000,19000,58000,72000,-14000,28000,30000,-21000,-33000,-63000,-63000
KBR,31-12-2019,5639000,4986000,653000,270736,341000,2000,534329,362000,22000,384000,99000,285000,59000,35000,-7000,254000,202000,202000
KC,31-12-2022,1176706,1114917,61789,139709,245945,215156,534329,-323865,-39513,-363379,19824,-383203,3520,75630,4345,-382379,-382379,-382379
KC,31-12-2021,1421667,1366549,55118,163777,175711,215156,534329,-284370,45253,-239117,8165,-247282,2470,75630,478,-249274,-249274,-249274
KC,31-12-2020,1005735,951149,54586,118525,120662,215156,534329,-184600,41195,-143406,1445,-144851,2279,75630,-9,-147139,-147139,-150162
KC,31-12-2019,567976,566870,1107,85443,79830,215156,534329,-164166,6642,-157525,707,-158232,1292,75630,-32034,-159524,-159524,-166663
KCGI,31-12-2022,4885368,3188738,1963046,270736,1326,215156,534329,-1326,30531,29205,155791,29205,136211,75630,-32034,29205,29205,29205
KCGI,31-12-2021,4885368,3188738,1963046,270736,554,215156,534329,-554,-8897,-9451,155791,-9451,136211,75630,-32034,-9451,-9451,-9451
KD,31-03-2023,17026000,14498000,2528000,270736,3249000,215156,534329,-721000,-35000,-757000,94000,-851000,524000,75630,-32034,-1375000,-1374000,-1374000
KD,31-03-2022,18317000,16056000,2261000,270736,3369000,215156,534329,-1577000,-40000,-1618000,71000,-1689000,351000,75630,-32034,-2040000,-2039000,-2039000
KD,31-12-2021,18657000,16550000,2107000,270736,3442000,469000,534329,-1804000,-35000,-1839000,64000,-1903000,402000,75630,-32034,-2305000,-2304000,-2304000
KD,31-12-2020,19352000,17137000,2215000,270736,3887000,215156,534329,-1672000,-25000,-1697000,63000,-1760000,247000,75630,-32034,-2007000,-2007000,-2007000
KDP,31-12-2022,14057000,6734000,7323000,270736,4540000,178000,534329,2605000,-243000,2412000,693000,1719000,284000,50000,1000,1486000,1436000,1436000
KDP,31-12-2021,12683000,5706000,6977000,270736,4083000,215156,534329,2894000,-120000,3298000,500000,2798000,653000,524000,1000,2670000,2146000,2146000
KDP,31-12-2020,11618000,5132000,6486000,270736,3939000,67000,534329,2480000,-123000,2357000,604000,1753000,428000,75630,-32034,1325000,1325000,1325000
KDP,31-12-2019,11120000,4778000,6342000,270736,3964000,215156,534329,2378000,-30000,2348000,654000,1694000,440000,75630,-32034,1254000,1254000,1254000
KE,30-06-2023,1823429,1667264,156165,270736,68436,215156,534329,87729,3278,91007,16263,74744,18913,75630,-32034,55831,55831,55831
KE,30-06-2022,1349535,1244933,104602,270736,52053,215156,534329,52549,-6163,46386,2655,43731,12478,75630,-32034,31253,31253,31253
KE,30-06-2021,1291807,1173772,118035,270736,52332,215156,534329,65703,6516,72219,2165,70054,13263,75630,-32034,56791,56791,56791
KE,30-06-2020,1200550,1116709,83841,270736,43920,7925,534329,31996,-2418,29578,4421,25157,6961,75630,-32034,18196,18196,18196
KELYA,01-01-2023,4965400,3953600,1011800,270736,943500,41000,534329,14800,-98500,-83700,155791,-83700,-7900,800,-32034,-75000,-62500,-62500
KELYA,02-01-2022,4909700,3990500,919200,270736,870600,215156,534329,48600,137200,185800,155791,185800,35100,5400,-32034,156100,156100,156100
KELYA,03-01-2021,4516000,3688400,827600,270736,805600,147700,534329,-93600,18900,-74700,155791,-74700,-34000,800,-32034,-39900,-72000,-72000
KELYA,29-12-2019,5355600,4387200,968400,270736,883100,15800,534329,81800,46900,128700,155791,128700,400,-3600,-32034,124700,112400,112400
KELYB,01-01-2023,4965400,3953600,1011800,270736,943500,41000,534329,14800,-98500,-83700,155791,-83700,-7900,800,-32034,-75000,-62500,-62500
KELYB,02-01-2022,4909700,3990500,919200,270736,870600,215156,534329,48600,137200,185800,155791,185800,35100,5400,-32034,156100,156100,156100
KELYB,03-01-2021,4516000,3688400,827600,270736,805600,147700,534329,-93600,18900,-74700,155791,-74700,-34000,800,-32034,-39900,-72000,-72000
KELYB,29-12-2019,5355600,4387200,968400,270736,883100,15800,534329,81800,46900,128700,155791,128700,400,-3600,-32034,124700,112400,112400
KEN,31-12-2022,573957,474114,99843,270736,99936,215156,534329,-93,-680046,438036,50397,387639,37980,1118175,-32034,349659,349659,349659
KEN,31-12-2021,487763,389414,98349,270736,75727,215156,534329,22622,-248834,1023937,144295,879642,4325,1250149,-32034,875317,875317,875317
KEN,31-12-2020,386470,315221,71249,270736,49957,215156,534329,21292,369435,551621,51174,500447,4698,160894,-32034,495749,504225,504225
KEN,31-12-2019,373473,287177,86296,270736,36436,215156,534329,49860,15980,24410,29946,-5536,16675,-41430,-32034,-22211,2442,2442
KEP,31-12-2022,55790000,79797000,-24008000,270736,1682000,215156,534329,-25497000,2722000,-23010000,3754000,-26764000,-7445000,-44000,-32034,-19363000,-19319000,-19319000
KEP,31-12-2021,50484000,53539000,-3055000,270736,1766000,215156,534329,-4814000,1787000,-3219000,2730000,-5949000,-1561000,-184000,-32034,-4571000,-4387000,-4387000
KEP,31-12-2020,53325000,47689000,5636000,270736,1897000,215156,534329,3772000,1791000,5421000,2666000,2755000,828000,-110000,-32034,1817000,1927000,1927000
KEP,31-12-2019,50645000,49963000,682000,270736,1654000,215156,534329,-1477000,410000,-418000,2406000,-2824000,-867000,144000,-32034,-1813000,-1957000,-1957000
KEQU,30-04-2023,219494,183906,35588,270736,30224,215156,534329,5364,868,6232,1734,4498,3139,75630,-621,738,738,738
KEQU,30-04-2022,168872,144652,24220,270736,26828,215156,534329,-2608,755,-1853,632,-2485,3518,75630,-123,-6126,-6126,-6126
KEQU,30-04-2021,147469,123476,23993,270736,25309,215156,534329,-1316,-912,-2228,389,-2617,990,75630,-65,-3672,-3672,-3672
KEQU,30-04-2020,147540,124113,23427,270736,25772,215156,534329,-2345,-28,-2373,493,-2866,1758,75630,-63,-4687,-4687,-4687
KERN,31-12-2022,13645,5412,8233,4691,14398,38967,5622,-55446,-3042,-58488,854,-59342,-716,75630,-32034,-58625,-79058,-80013
KERN,31-12-2021,17627,7434,10193,5892,17882,14354,5175,-33109,1303,-31806,1531,-33337,-2264,-8,-32034,-31080,-31329,-31329
KERN,31-12-2020,13899,6356,7543,5138,19096,6887,3218,-26796,2454,-24504,155791,-24504,31,-16,859,-23693,-23693,-23693
KERN,30-06-2020,12573,6210,6364,3206,19113,215156,1316,-17272,2728,-14387,155791,-14387,31,-4,850,-13572,-13572,-13572
KERNW,31-12-2022,13645,5412,8233,4691,14398,38967,5622,-55446,-3042,-58488,854,-59342,-716,75630,-32034,-58625,-79058,-80013
KERNW,31-12-2021,17627,7434,10193,5892,17882,14354,5175,-33109,1303,-31806,1531,-33337,-2264,-8,-32034,-31080,-31329,-31329
KERNW,31-12-2020,13899,6356,7543,5138,19096,6887,3218,-26796,2454,-24504,155791,-24504,31,-16,859,-23693,-23693,-23693
KERNW,30-06-2020,12573,6210,6364,3206,19113,215156,1316,-17272,2728,-14387,155791,-14387,31,-4,850,-13572,-13572,-13572
KEX,31-12-2022,2784754,2060941,723813,270736,337763,215156,201443,192886,24956,209563,44588,164975,42214,75630,-470,122291,122291,122291
KEX,31-12-2021,2246660,1652961,593699,270736,303162,340713,213718,-258133,15762,-248132,42469,-290601,-43830,75630,-183,-246954,-246954,-246954
KEX,31-12-2020,2171408,1510818,660590,270736,300272,561274,219921,-420759,8265,-412612,48739,-461351,-189759,75630,-954,-272546,-272546,-272546
KEX,31-12-2019,2838399,2030046,808353,270736,319321,35525,219632,242027,11939,245814,55994,189820,46801,75630,-672,142347,142347,142347
KEY,31-12-2022,8130000,279000,1963046,270736,4410000,215156,502000,478735,41948,2939000,606000,2333000,422000,75630,-32034,1911000,1917000,1799000
KEY,31-12-2021,7561000,67000,1963046,270736,4429000,215156,-418000,478735,41948,3483000,229000,3254000,642000,75630,-32034,2612000,2625000,2519000
KEY,31-12-2020,7337000,347000,1963046,270736,4109000,215156,1021000,478735,41948,1860000,304000,1556000,227000,75630,-32034,1329000,1343000,1237000
KEY,31-12-2019,7694000,853000,1963046,270736,3812000,215156,534000,478735,41948,2495000,473000,2022000,314000,75630,-32034,1708000,1717000,1620000
KF,30-06-2009,5556,3251,2305,270736,1529,215156,534329,776,-203278,776,155791,776,136211,75630,-32034,-202503,-202503,-202503
KF,30-06-2008,322943,7841,315102,270736,1696,215156,534329,313406,-377275,2802,155791,2802,136211,75630,-32034,-63869,-63869,-63869
KF,30-06-2007,483708,7729,475979,270736,1567,215156,534329,474412,-211008,263404,155791,263404,136211,75630,-32034,263404,263404,263404
KF,30-06-2006,472044,8673,463372,270736,1402,215156,534329,461969,-115325,10178,30,10147,136211,75630,-32034,346614,346614,346614
KFFB,30-06-2023,13060,1811,1963046,270736,7818,215156,113,478735,41948,3318,2091,1227,294,75630,-32034,933,933,933
KFFB,30-06-2022,11429,1387,1963046,270736,7668,215156,-60,478735,41948,2434,367,2067,477,75630,-32034,1590,1590,1590
KFFB,30-06-2021,12747,1711,1963046,270736,8242,215156,192,478735,41948,2602,430,2172,352,75630,-32034,1820,1820,1820
KFFB,30-06-2020,13222,2405,1963046,270736,8343,13560,103,478735,41948,-11189,1094,-12283,264,75630,-32034,-12547,-12547,-12547
KFRC,31-12-2022,1710765,1209658,501107,270736,379815,215156,4427,116865,-14423,102442,155791,102442,27011,75630,-32034,75431,75431,75431
KFRC,31-12-2021,1579922,1123058,456864,270736,345721,215156,4500,106643,-7376,99267,155791,99267,24090,75630,-32034,75177,75177,75177
KFRC,31-12-2020,1397700,1001476,396224,270736,310713,215156,5255,80256,-5044,75212,155791,75212,19173,75630,-32034,56039,56039,56039
KFRC,31-12-2019,1347387,952349,395038,270736,314167,215156,6050,74821,-3425,71396,155791,71396,16830,75630,-32034,54566,130862,130862
KFS,31-12-2022,93280,29253,64027,270736,43519,5408,18673,-3573,46648,43049,8092,34957,4825,-26,9657,30132,24696,24416
KFS,31-12-2021,78401,26578,51823,270736,45245,215156,7052,-474,247,-469,6161,-6630,-3916,-242,-2202,-2714,-584,-836
KFS,31-12-2020,60972,15452,45520,270736,42099,215156,8642,-5221,5136,1182,7719,-6537,-1115,1267,-1309,-5422,-5458,-7791
KFS,31-12-2019,59948,14329,45619,270736,36261,215156,10767,-1409,6538,5859,8991,-3132,-363,730,-1573,-2769,-5156,-6905
KFY,30-04-2023,2863836,266927,2596909,270736,2169661,42573,68335,316340,5261,321601,25864,295737,82683,75630,-3525,209529,209529,209529
KFY,30-04-2022,2643455,131136,2512319,270736,1978724,215156,63521,470074,-11880,458194,25293,432901,102056,75630,-4485,326360,326360,326360
KFY,30-04-2021,1819946,81929,1738017,270736,1489656,30732,61845,155784,37194,192978,29278,163700,48138,75630,-1108,114454,114454,114454
KFY,30-04-2020,1977330,130484,1846846,270736,1556951,58559,55311,176025,-2879,173146,22184,150962,43945,75630,-2071,104946,104946,104946
KGC,31-12-2022,3455100,2939700,515400,270736,243600,154100,534329,117700,82700,200400,93700,106700,76100,75630,-32034,30600,-605700,-605700
KGC,31-12-2021,2599600,2058500,541100,270736,380800,88200,534329,72100,94400,166500,82200,84300,115000,75630,-32034,-30700,218700,218700
KGC,31-12-2020,4213400,1917100,2296300,270736,304400,92500,534329,1899400,11700,1911100,112600,1798500,439800,75630,-32034,1358700,1358700,1358700
KGC,31-12-2019,3497300,2148400,1348900,270736,244300,113500,534329,991100,80600,1071700,107900,963800,246700,75630,-32034,717100,717100,717100
KHC,31-12-2022,26485000,18363000,8122000,270736,3575000,913000,534329,3634000,253000,3887000,921000,2966000,598000,75630,-5000,2363000,2363000,2363000
KHC,25-12-2021,26042000,17360000,8682000,270736,3588000,1634000,534329,3460000,295000,3755000,2047000,1708000,684000,75630,-12000,1012000,1012000,1012000
KHC,26-12-2020,26185000,17008000,9177000,270736,3650000,3399000,534329,2128000,296000,2424000,1394000,1030000,669000,75630,-5000,356000,356000,356000
KHC,28-12-2019,24977000,16830000,8147000,270736,3178000,1899000,534329,3070000,952000,4022000,1361000,2661000,728000,75630,2000,1935000,1935000,1935000
KIDS,31-12-2022,122289,31629,90660,8014,104436,3609,534329,-25399,24134,-1265,2424,-3689,-4947,75630,-32034,1258,1258,1258
KIDS,31-12-2021,98049,24646,73403,5543,85734,150,534329,-18024,2883,-15141,2247,-17388,-1128,75630,-32034,-16260,-16260,-16260
KIDS,31-12-2020,71078,16047,55031,5273,70171,6342,534329,-26755,-3500,-30255,3412,-33667,-723,75630,-32034,-32944,-32944,-32944
KIDS,31-12-2019,72552,17933,54619,5748,57948,215156,534329,-9077,-70,-9147,3538,-12685,136211,75630,-32034,-12685,-13731,-13731
KIM,31-12-2022,1727684,530907,1196777,270736,119534,21958,505000,565464,-279158,286306,226823,59483,56654,126884,11442,185459,125976,100758
KIM,31-12-2021,1364585,417911,946674,270736,104121,53788,395320,424286,555814,980100,204133,775967,3380,107950,-5637,1620026,844059,818643
KIM,31-12-2020,1057893,342969,714924,270736,93217,6624,288955,332612,788650,1121262,186904,934358,978,75981,-2044,1935191,1000833,975417
KIM,31-12-2019,1158884,336951,821933,270736,96942,48743,277879,477587,91032,568619,177395,391224,-3317,98238,-2956,801829,410605,339988
KIND,31-12-2022,212765,38981,173784,127073,190915,215156,534329,-144204,7961,-136243,155791,-136243,1673,75630,-32034,-137916,-137916,-137916
KIND,31-12-2021,192197,28813,163384,97096,161094,215156,534329,-94806,-362,-95168,155791,-95168,157,75630,-32034,-95325,-95325,-95325
KIND,31-12-2020,123284,21586,101698,69231,109118,215156,534329,-76651,1544,-75107,155791,-75107,127,75630,-32034,-75234,-75234,-75234
KINS,31-12-2022,130159,149669,-19509,270736,932530,215156,6414,-27942,41948,-25923,2019,-27942,-5418,75630,-32034,-22525,-22525,-22525
KINS,31-12-2021,161231,161341,-110,270736,932530,215156,7474,-9409,41948,-7583,1826,-9409,-2031,75630,-32034,-7378,-7378,-7378
KINS,31-12-2020,131370,123684,7686,270736,932530,215156,7147,-1288,41948,538,1826,-1288,-2260,75630,-32034,972,972,972
KINS,31-12-2019,145120,144696,424,270736,932530,215156,6381,-7783,41948,-5956,1826,-7783,-1816,75630,-32034,-5966,-5966,-5966
KIQ,31-12-2022,10931,6022,4909,1069,4085,779,400,-1423,233,-1189,155791,-1189,166,75630,-32034,-1355,-1355,-1355
KIQ,31-12-2021,7426,4229,3196,1697,3924,391,438,-3254,668,-2586,155791,-2586,173,75630,-32034,-2759,-2759,-2759
KIQ,31-12-2020,11149,6356,4793,1392,3936,426,140,-1101,42,-1059,155791,-1059,249,75630,-32034,-1308,-1308,-1308
KIQ,31-12-2019,20551,10968,9583,1129,4560,364,69,3461,-28,3433,155791,3433,99,75630,-32034,3334,3334,3334
KIRK,28-01-2023,498825,379036,119789,270736,154414,2071,6055,-42751,335,-42416,1735,-44151,543,75630,-32034,-44694,-44694,-44694
KIRK,29-01-2022,558180,369752,188428,270736,155717,754,6612,25345,344,25689,320,25369,3343,75630,-32034,22026,22026,22026
KIRK,30-01-2021,543496,370658,172838,270736,148859,9387,6305,8287,376,8663,571,8092,-8547,75630,-32034,16639,16639,16639
KIRK,01-02-2020,603880,438446,165434,270736,192542,19229,6704,-53041,911,-52130,457,-52587,678,75630,-32034,-53265,-53265,-53265
KITT,31-12-2022,11435,11864,-429,2377,15057,215156,517,-18379,-6167,-24547,3714,-28261,136211,75630,-32034,-28261,-28261,-28261
KITT,31-12-2021,8592,6850,1741,3534,4362,215156,365,-6520,-7883,-14402,725,-15128,136211,75630,-32034,-15128,-15128,-15128
KITT,31-12-2020,4885368,3188738,1963046,270736,932530,1,534329,-1,41948,-1,155791,-1,136211,75630,-32034,-1,-1,-1
KITTW,31-12-2022,11435,11864,-429,2377,15057,215156,517,-18379,-6167,-24547,3714,-28261,136211,75630,-32034,-28261,-28261,-28261
KITTW,31-12-2021,8592,6850,1741,3534,4362,215156,365,-6520,-7883,-14402,725,-15128,136211,75630,-32034,-15128,-15128,-15128
KITTW,31-12-2020,4885368,3188738,1963046,270736,932530,1,534329,-1,41948,-1,155791,-1,136211,75630,-32034,-1,-1,-1
KKR,31-12-2022,4083236,3188738,4083236,270736,6118334,565304,10990,-2611392,1552192,578759,1637959,-1059200,-35672,75630,182398,-841130,-841130,-910130
KKR,31-12-2021,15104119,3188738,15104119,270736,11067934,358878,-65949,3743256,9905193,14780478,1132029,13648449,1353270,75630,-7628703,4666476,4666476,4560829
KKR,31-12-2020,3261020,3188738,3261020,270736,2933132,215156,534329,327888,5398807,6696566,969871,5726695,609097,75630,-3115089,2002509,2002509,1945954
KKR,31-12-2019,3177349,3188738,3177349,270736,2908431,215156,534329,268918,4899372,6211841,1043551,5168290,528750,75630,-2634491,2005049,2005049,1971685
KKRS,31-12-2022,4083236,3188738,4083236,270736,6118334,565304,10990,-2611392,1552192,578759,1637959,-1059200,-35672,75630,182398,-841130,-841130,-910130
KKRS,31-12-2021,15104119,3188738,15104119,270736,11067934,358878,-65949,3743256,9905193,14780478,1132029,13648449,1353270,75630,-7628703,4666476,4666476,4560829
KKRS,31-12-2020,3261020,3188738,3261020,270736,2933132,215156,534329,327888,5398807,6696566,969871,5726695,609097,75630,-3115089,2002509,2002509,1945954
KKRS,31-12-2019,3177349,3188738,3177349,270736,2908431,215156,534329,268918,4899372,6211841,1043551,5168290,528750,75630,-2634491,2005049,2005049,1971685
KLAC,30-06-2023,10496056,4218307,6277749,1296727,986326,215156,534329,3994696,91434,4086130,296940,3789190,401839,75630,-74,3387277,3387277,3387277
KLAC,30-06-2022,9211883,3592441,5619442,1105254,860007,215156,534329,3654181,-4605,3649576,160339,3489237,167177,75630,-253,3321807,3321807,3321807
KLAC,30-06-2021,6918734,2772165,4146569,928487,729602,215156,534329,2488480,29302,2517782,157328,2360454,283101,75630,939,2078292,2078292,2078292
KLAC,30-06-2020,5806424,2449561,3356863,863864,734149,256649,534329,1502201,-25216,1476985,160274,1316711,101686,75630,1760,1216785,1216785,1216785
KLIC,01-10-2022,1503620,755300,748320,136852,141396,215156,534329,470072,7124,477196,208,476988,43443,75630,-32034,433545,433545,433545
KLIC,02-10-2021,1517664,820678,696986,137478,147061,215156,534329,412447,2321,414768,218,414550,47295,-94,-32034,367161,367161,367161
KLIC,03-10-2020,623176,325201,297975,123459,116007,215156,534329,58509,7541,66050,1716,64334,11998,-36,-32034,52300,52300,52300
KLIC,28-09-2019,540052,285462,254590,116169,116811,215156,534329,21610,15132,36742,2055,34687,22910,-124,-32034,11653,11653,11653
KLTR,31-12-2022,168811,61871,106940,57387,104694,1238,534329,-56379,41948,-56379,4248,-60627,7868,75630,-32034,-68495,-68495,-68495
KLTR,31-12-2021,165016,62314,102702,48376,87001,215156,534329,-32675,41948,-32675,20106,-52781,6570,75630,-32034,-59351,-59351,-67592
KLTR,31-12-2020,120440,47665,72775,29567,51697,215156,534329,-8489,41948,-8489,46721,-55210,3553,75630,-32034,-58763,-58763,-70697
KLTR,31-12-2019,97349,35618,61731,24216,40294,215156,534329,-2779,41948,-2779,11189,-13968,1604,75630,-32034,-15572,-15572,-25321
KLXE,31-12-2022,781600,621300,160300,600,70400,215156,56800,32500,41948,32500,35000,-2500,600,75630,-32034,-3100,-3100,-3100
KLXE,31-01-2020,544000,470000,74000,2700,100000,47000,534329,-75700,41948,-75700,29200,-104900,-8500,75630,-32034,-96400,-96400,-96400
KLXE,31-01-2019,495300,370400,124900,2400,100400,215156,534329,22100,41948,22100,7100,15000,600,75630,-32034,14400,14400,14400
KLXE,31-01-2018,320500,269100,51400,2000,73400,215156,534329,-24000,41948,-24000,155791,-24000,100,75630,-32034,-24100,-24100,-24100
KMB,31-12-2022,20175000,13956000,6219000,270736,3538000,215156,534329,2681000,-59000,2622000,282000,2340000,495000,116000,-27000,1934000,1934000,1934000
KMB,31-12-2021,19440000,13452000,5988000,270736,3427000,215156,534329,2561000,-80000,2481000,256000,2225000,479000,98000,-30000,1814000,1814000,1814000
KMB,31-12-2020,19140000,12318000,6822000,270736,3578000,215156,534329,3244000,-62000,3182000,252000,2930000,676000,142000,-44000,2352000,2352000,2352000
KMB,31-12-2019,18450000,12415000,6035000,270736,3044000,215156,534329,2991000,-80000,2911000,261000,2650000,576000,123000,-40000,2157000,2157000,2157000
KMDA,31-12-2022,129339,82636,46703,13172,28999,215156,534329,4532,-5877,-1345,914,-2259,62,75630,-32034,-2321,-2321,-2321
KMDA,31-12-2021,103642,73314,30328,11357,19667,215156,534329,-696,-906,-1602,283,-1885,345,75630,-32034,-2230,-2230,-2230
KMDA,31-12-2020,133246,85694,47552,13609,14706,215156,534329,19237,-406,18831,266,18565,1425,75630,-32034,17140,17140,17140
KMDA,31-12-2019,127187,77450,49737,13059,13894,215156,534329,22784,490,23274,293,22981,730,75630,-32034,22251,22251,22251
KMI,31-12-2022,19200000,11910000,7290000,270736,1071000,215156,2186000,4065000,12000,3335000,155791,3335000,710000,803000,-77000,3351000,2548000,2548000
KMI,31-12-2021,16610000,8861000,7749000,270736,1074000,215156,2135000,2916000,-1420000,2219000,155791,2219000,369000,591000,-66000,2375000,1784000,1784000
KMI,31-12-2020,11700000,5020000,6680000,270736,1024000,215156,2164000,1560000,-2016000,661000,155791,661000,481000,780000,-61000,899000,119000,119000
KMI,31-12-2019,13209000,5854000,7355000,270736,1013000,-942000,2411000,4873000,-8000,3165000,155791,3165000,926000,101000,-49000,2291000,2190000,2190000
KMPB,31-12-2022,5576800,5705000,-128200,270736,932530,215156,534329,-389500,-3700,-131900,257600,-389500,-88300,75630,-32034,-301200,-301200,-301200
KMPB,31-12-2021,5793000,5818900,-25900,270736,932530,215156,534329,-245300,41948,-25900,219400,-245300,-124800,75630,-32034,-120500,-120500,-120500
KMPB,31-12-2020,5205700,4424100,781600,270736,932530,215156,534329,510100,41948,781600,271500,510100,100200,75630,-32034,409900,409900,409900
KMPB,31-12-2019,5039200,4208000,831200,270736,932530,215156,534329,661600,-5800,825400,163800,661600,130500,75630,-32034,531100,531100,531100
KMPR,31-12-2022,5576800,5705000,-128200,270736,932530,215156,534329,-389500,-3700,-131900,257600,-389500,-88300,75630,-32034,-301200,-301200,-301200
KMPR,31-12-2021,5793000,5818900,-25900,270736,932530,215156,534329,-245300,41948,-25900,219400,-245300,-124800,75630,-32034,-120500,-120500,-120500
KMPR,31-12-2020,5205700,4424100,781600,270736,932530,215156,534329,510100,41948,781600,271500,510100,100200,75630,-32034,409900,409900,409900
KMPR,31-12-2019,5039200,4208000,831200,270736,932530,215156,534329,661600,-5800,825400,163800,661600,130500,75630,-32034,531100,531100,531100
KMT,30-06-2023,2078184,1431745,646439,270736,437292,4106,12624,192417,-4300,188117,28496,159621,36255,75630,-4907,118459,118459,118459
KMT,30-06-2022,2012456,1364479,647977,270736,418092,-1243,12988,218140,14507,232647,25914,206733,56532,75630,-5578,144623,144623,144623
KMT,30-06-2021,1841441,1288963,552478,270736,407246,29061,14003,102168,8867,111035,46375,64660,6243,75630,-3983,54434,54434,54434
KMT,30-06-2020,1885305,1355834,529471,270736,394953,98455,13811,22252,14862,37114,35154,1960,7007,75630,-614,-5661,-5661,-5661
KMX,28-02-2023,29684873,26884670,2800203,270736,1823953,215156,228449,747801,9401,757202,120398,636804,152042,75630,-32034,484762,484762,484762
KMX,28-02-2022,31900412,28612870,3287542,270736,1523713,215156,211956,1551873,34568,1586441,94095,1492346,341049,75630,-32034,1151297,1151297,1151297
KMX,28-02-2021,18950149,16571024,2379125,270736,1141609,215156,194356,1043160,8275,1051435,86178,965257,218338,75630,-32034,746919,746919,746919
KMX,29-02-2020,20319987,17597647,2722340,270736,1294138,215156,189899,1238303,5690,1243993,83007,1160986,272553,75630,-32034,888433,888433,888433
